game_id,answer,nearby_1,nearby_2,nearby_3,nearby_4,nearby_5,nearby_6,nearby_7,nearby_8,nearby_9,nearby_10
26,costly,expensive,cumbersome,burdensome,prohibitive,onerous,inconvenient,complicated,problematic,costlier,inefficient
27,historian,scholar,historians,geographer,archivist,biographer,chronicler,sociologist,anthropologist,curator,folklorist
28,appreciation,appreciations,gratitude,appreciating,appreciate,admiration,gratefulness,appreciated,devotion,affection,thankfulness
29,ideological,ideology,ideologies,ideologically,idealogical,political,liberalism,liberal,absolutist,conservatism,doctrinaire
30,piano,violin,cello,clarinet,saxophone,pianist,trombone,harpsichord,pianos,guitar,viola
31,spy,spies,spying,espionage,intelligence,eavesdropping,covert,counterspy,counterintelligence,supersecret,counterspies
32,suitable,unsuitable,ideal,appropriate,feasible,suited,acceptable,optimal,desirable,advisable,suitability
33,liver,kidney,pancreas,kidneys,livers,lung,intestine,pancreatic,intestines,clotting,pancreases
34,bold,boldest,daring,bolder,audacious,boldly,ballsy,boldness,courageous,forceful,brash
35,value,values,valuation,valued,price,worth,valuations,valuing,cost,overvalues,valuated
36,bat,bats,batting,batsman,batted,batsmen,uppercutting,fielder,seamer,misfielded,fielders
37,selection,selections,selecting,selected,select,choice,chosen,selects,choosing,choices,pick
38,field,fields,turf,sideline,pitch,placekick,bleachers,uprights,scoreboard,infield,track
39,surrounding,surrounds,surround,shrouded,enveloped,enveloping,concerning,surrounded,swirling,regarding,shrouding
40,generous,generously,generosity,munificent,gracious,magnanimous,benevolent,appreciative,stingy,grateful,miserly
41,speaker,speakers,legislator,parliamentarian,keynoter,microphone,keynoters,moderator,lawmaker,orator,panelist
42,manager,manger,director,vp,supervisor,coordinator,administrator,assistant,executive,boss,managers
43,pork,meat,beef,chicken,meats,lamb,bacon,sausage,veal,poultry,swine
44,greet,greets,greeting,greeted,mingle,hello,mobbed,hug,throng,greeters,hugged
45,track,tracks,racetrack,levigated,cuppy,racing,record,speedway,field,pace,race
46,circle,circles,clockwise,corner,timer,semicircle,semicircles,deking,slapshot,coterie,circled
47,area,areas,region,vicinity,neighborhoods,neighborhood,metropolitan,vicinities,north,corridor,downtown
48,objective,aim,objectives,purpose,goal,aims,intention,mission,target,aspiration,criterion
49,assemble,assembling,assembled,reassemble,assembles,disassemble,organize,gather,build,construct,fabricate
50,pot,pots,marijuana,cannabis,marajuana,marihuana,bong,ganja,toke,toked,meth
51,resist,resists,resisted,resisting,succumb,dissuade,repel,defy,relent,ignore,withstand
52,curriculum,curricula,curriculums,curricular,syllabus,education,syllabuses,pedagogy,teaching,syllabi,electives
53,craft,crafts,crafting,crafter,basketweaving,kite,craftspeople,candlemaking,leatherworking,tinsmithing,boat
54,shot,shots,shooting,shoot,fired,shoots,ricocheted,shooter,shootout,grazed,hit
55,rocket,rockets,missile,missiles,launcher,spacecraft,spaceship,spaceward,unpiloted,interceptor,projectile
56,cooperate,cooperating,cooperated,cooperates,cooperation,collaborate,comply,engage,relent,cooperatively,complied
57,nod,nods,kudos,assent,approval,plaudit,nudge,fillip,thumbs,reprieve,plaudits
58,ugly,uglier,nasty,awful,hideous,ugliest,horrible,horrid,messy,unsightly,dreadful
59,newspaper,newspapers,broadsheet,dailies,tabloid,paper,weeklies,editorial,magazine,editorials,serialising
60,soar,skyrocket,plummet,soars,rise,soared,soaring,hover,rocketing,rising,rises
61,principle,principles,tenet,tenets,precepts,doctrine,philosophy,dictum,theory,maxim,logic
62,democratic,democracy,democratization,pluralist,pluralism,pluralistic,democracies,democratically,mobocracy,undemocratic,constitutionalism
63,present,presented,presenting,presents,presentation,discuss,attend,introduce,recognize,speak,current
64,vendor,vendors,vender,supplier,reseller,venders,suppliers,seller,customer,resellers,wholesaler
65,direct,indirect,directly,immediate,whatsoever,indirectly,reciprocal,minimal,any,directing,substantial
66,cooperation,cooperations,collaboration,cooperate,coordination,partnership,cooperating,cooperative,bilateral,rapprochement,ties
67,athletic,athletics,athletically,basketball,football,athlete,sports,athletes,nonathletic,coaches,interscholastic
68,absolute,utter,unmitigated,unadulterated,unquestionable,pure,absolutely,ultimate,infinite,sheer,incredible
69,surprise,surprising,shocker,surprises,surprised,shock,disappointment,suprising,shocking,coincidence,unexpected
70,asset,assets,investment,portfolio,diversifier,investments,securities,equity,wealth,holdings,ungeared
71,button,buttons,hotkey,pushbutton,toggle,cursor,backspace,keypad,toggles,knob,toggled
72,bar,bars,tavern,pub,nightspot,nightclub,bartender,restaurant,diner,cafe,taproom
73,prevail,prevailed,prevails,outlast,prevailing,trump,vanquish,relent,becloud,trounce,persist
74,apple,apples,pear,fruit,berry,pears,strawberry,peach,potato,grape,blueberry
75,title,championship,crown,titles,championships,champs,champ,champion,trophy,champions,berth
76,gathering,gather,gathered,gatherings,gathers,meeting,congregated,confab,congregating,congregate,symposium
77,recruit,recruiting,recruits,recruited,recruitment,headhunt,hire,recruiter,recruiters,enlist,attract
78,grateful,thankful,appreciative,thank,proud,glad,gratified,fortunate,thanking,delighted,thrilled
79,philosophical,philosophic,metaphysical,theological,philosophically,epistemological,structuralist,humanistic,existential,dogmatic,moralistic
80,horse,horses,racehorse,stallion,thoroughbred,horseman,colt,equine,mare,thoroughbreds,gelding
81,mother,daughter,grandmother,aunt,niece,father,son,sister,wife,stepmother,granddaughter
82,note,notes,missive,letter,postscript,caveat,wrote,mention,paragraph,memo,cautioning
83,contribution,contributions,donation,contributor,contribute,achievements,contributors,achievement,contributing,commitment,strides
84,lend,lent,lends,lended,borrow,lending,loaning,give,contribute,underwrite,infuse
85,roll,rolling,rolled,rolls,pull,flatten,push,unroll,rollout,stagger,churn
86,gather,gathered,gathering,gathers,converge,collect,congregate,glean,congregated,assemble,collate
87,cliff,cliffs,ledge,precipice,ravine,mountain,waterfall,gorge,abyss,boulder,crag
88,spill,spills,spillage,leak,spilled,spilling,gusher,gushing,cleanup,spillages,leaking
89,alcohol,booze,drink,liquor,drinking,intoxication,drunk,intoxicated,intoxicants,underage,intoxicant
90,equality,emancipation,inclusiveness,inequality,equalities,egalitarianism,liberty,pluralism,freedom,equal,discrimination
91,headphones,earphones,headphone,headset,headsets,earphone,earplugs,earpiece,earpieces,stereo,earplug
92,offensive,defensive,offensively,offense,defensively,fensive,playmaking,scrimmage,backfield,defense,defensing
93,together,gether,cohesively,cohesive,harmoniously,disparate,united,uniting,collaboratively,apart,unite
94,poem,poems,poetry,sonnet,poet,verse,essay,epigraph,hymn,novella,epigraphs
95,booth,booths,kiosk,exhibitor,expo,attendees,pavilion,kiosks,venders,standees,exhibitors
96,grandparent,grandparents,grandchild,grandmother,grandma,parents,child,aunt,aunts,grandpa,grandchildren
97,legislator,lawmaker,politician,parliamentarian,senator,legislators,congressman,assemblyman,legislature,governor,officeholder
98,repeatedly,frequently,angrily,routinely,continually,consistently,incessantly,forcefully,pointedly,publicly,oft
99,speculation,rumors,speculations,conjecture,rumor,speculating,scuttlebutt,chatter,rumored,speculated,fears
100,job,jobs,work,employment,rsum,salary,internship,hiring,position,menial,assignments
101,century,centuries,decade,decades,fifty,millennia,centry,millennium,millenniums,millenium,years
102,entitle,entitling,entitles,exercisable,entitled,receive,deprive,allow,require,redeemable,nontransferable
103,debate,debates,discussion,debating,debated,controversy,discourse,disagreement,brouhaha,conversation,discussions
104,landing,landed,landings,takeoff,flight,plane,docking,retrorockets,flying,splashdowns,splashdown
105,match,matches,game,decider,quarterfinal,tournament,semifinal,clash,rematch,opener,qualifier
106,visor,visors,helmet,goggles,kneepad,sunglasses,faceplate,glasses,windcheater,sunblind,mask
107,poke,poking,poked,pokes,prod,jabbed,dig,whacks,swipe,wacks,prick
108,limited,restricted,limiting,minimal,diminished,constrained,limitations,confined,restricting,only,curtailed
109,lean,leaner,leaning,leans,agile,leaned,leanest,beefy,muscular,skinny,nimble
110,forgetful,absentminded,forgetfulness,inattentive,irritable,distractible,frazzled,scatterbrained,cranky,crabby,forgetting
111,individual,individually,individuals,individualized,specific,dividual,each,multiple,personal,person,nonqualifying
112,commercial,residential,industrial,noncommercial,business,leasing,commercially,residental,retail,habitational,nonresidential
113,active,actively,inactive,proactive,passive,nonactive,productive,integral,important,influential,aggressive
114,chess,grandmaster,backgammon,shogi,chessboard,billiards,chessboards,mancala,badminton,judo,simul
115,company,firm,companies,subsidiary,conglomerate,corporation,manufacturer,maker,business,industry,retailer
116,checkers,checker,lap,laps,lapper,skeeball,solitaire,pitside,rummy,marbles,mancala
117,example,instance,examples,illustration,exemplar,reason,counterexample,analogy,metaphor,template,embodiment
118,lighting,illumination,lights,lightings,uplighting,lighted,uplights,dimmers,uplight,relighting,lit
119,missing,disappeared,unaccounted,vanished,missed,disappearance,dead,lost,searching,absent,whereabouts
120,voter,voters,ballot,electorate,electors,elector,electoral,polling,ballots,voting,election
121,painter,printmaker,artist,painters,sculptor,watercolorist,muralist,watercolourist,painting,portraitist,ceramist
122,uncomplicated,straightforward,simple,unfussy,uncluttered,effortless,intuitive,easy,unhurried,elegant,unostentatious
123,affair,dalliance,tryst,dalliances,flirtation,romance,fling,relationship,mistress,tiff,saga
124,architect,architects,architectural,engineer,architecture,planner,draftsman,builder,designer,consultant,acoustician
125,bucket,buckets,basket,baskets,dunk,pail,layup,trey,pointer,dunked,putback
126,ours,yours,our,theirs,we,ourselves,us,obviously,everybody,always,something
127,glass,plexiglass,wineglass,decanter,plexiglas,bottle,glassware,carafes,bottles,pontil,decanters
128,chew,chewing,chewed,chomp,gnaw,nibble,chews,munch,masticate,chomped,bite
129,seat,seats,seated,seating,incumbent,unopposed,chair,chairmanships,seater,recontesting,backseat
130,melting,melt,melted,melts,molten,warming,refreezing,moulins,unthawed,icecaps,meltwater
131,related,relating,associated,pertaining,unrelated,linked,concerning,relates,stemming,pertain,involving
132,twist,twists,wrinkle,dimension,switcheroo,twisting,quirk,subplot,kink,tidbit,overtones
133,lament,bemoan,lamenting,bemoaning,laments,grumble,bemoaned,lamented,lamentations,bemoans,lamentation
134,elephant,elephants,rhino,pachyderm,tiger,rhinoceros,tigers,hippo,gorilla,giraffe,rhinos
135,slot,slots,spot,slotted,position,spots,slotting,backhander,timer,berth,wristed
136,pitcher,pitchers,hurler,reliever,pitching,catcher,righty,hitter,shortstop,outfielder,baseman
137,preparation,preparations,prepare,preparing,prepping,preparatory,prepared,training,planning,prepares,anticipation
138,efficiency,efficiencies,efficient,reliability,productivity,economization,recyclability,utilization,energy,airtightness,serviceability
139,consciousness,conciousness,unconsciousness,discourse,psyche,subconscious,reverie,subconsciousness,unconscious,finitude,coma
140,trainer,trainers,jockey,horseman,strapper,conditioner,clocker,gelding,filly,physiotherapist,stables
141,columnist,columnists,editor,writer,commentator,sportswriter,column,reporter,correspondent,journalist,pundit
142,alike,legions,roomful,spellbind,both,delighting,clamored,universally,clamoring,flocking,everywhere
143,badly,poorly,severely,horribly,grievously,miserably,sorely,dreadfully,disastrously,desperately,terribly
144,wealthy,wealthiest,wealthier,affluent,moneyed,superwealthy,monied,rich,millionaires,millionaire,heeled
145,palate,palates,tastebuds,tastes,flavors,aromas,spiciness,fruity,fruitiness,palette,maltiness
146,tourist,tourists,tourism,touristic,visitor,backpacker,vacationers,touristy,honeymooners,holidaymaker,traveler
147,taxpayer,taxpayers,payer,ratepayer,taxpaying,bailouts,money,bailout,monies,overtaxation,taxwise
148,learn,teach,learned,learning,discover,understand,learns,educate,know,taught,relearn
149,deficit,deficits,surplus,shortfall,budget,surpluses,gap,imbalance,overspending,budgetary,spending
150,publicity,notoriety,publicizing,hype,hoopla,publicize,buzz,propaganda,attention,promotional,controversy
151,evaluation,evaluations,assessment,evaluated,examination,review,evaluate,evaluating,analysis,evaluator,testing
152,magnetic,electromagnetic,magnetization,magnetically,magnetisation,gravitational,magnetised,magnetized,conductive,ferromagnetic,magnetism
153,retirement,retire,retiring,retirements,pension,retirees,pensions,retires,retired,retiree,unreduced
154,discussion,discussions,debate,conversation,debates,roundtable,forum,dialogue,conversations,discussing,topic
155,overlook,ignore,underestimate,overlooking,overstate,overlooked,forget,misunderstand,overemphasize,overlooks,underplay
156,after,before,following,afer,later,shortly,last,earlier,when,ago,prior
157,oil,petroleum,gas,crude,hydrocarbon,hydrocarbons,oilfield,gasoline,deepwater,petro,refineries
158,difficult,impossible,tricky,tough,harder,challenging,easier,trickier,problematic,hard,frustrating
159,inspiration,inspirations,inspired,inspiring,encouragement,inspirational,muse,inspire,impetus,solace,motivation
160,fork,forks,forked,forking,ricer,spoon,spatula,ramekin,sawbuck,rake,scrape
161,brief,lengthy,briefest,briefly,terse,prolonged,succinct,lengthly,hourlong,fleeting,momentary
162,lesson,lessons,teach,rudiments,taught,basics,learned,reminder,refresher,instruction,unlearnt
163,cheese,cheeses,cheddar,mozzarella,gruyere,chevre,camembert,ricotta,brie,gouda,parmesan
164,use,using,utilize,used,uses,usage,utilizing,utilized,misuse,touse,apply
165,telescope,telescopes,observatory,observatories,astronomers,spectrograph,interferometer,astronomy,spectrometer,spacecraft,astronomer
166,step,steps,stepping,move,stepped,strides,leap,push,moves,steppingstone,challenge
167,relationship,relationships,friendship,ties,partnership,relations,rapport,friendships,partnerships,collaboration,symbiosis
168,habitat,habitats,wetlands,species,wetland,wildlife,grasslands,ecosystems,spikedace,vegetation,murrelet
169,testimony,testifying,testified,testify,testimonies,witnesses,witness,arguments,deposition,confession,testifies
170,jar,jars,jug,tins,pail,bottle,vial,dishtowel,canister,carton,cans
171,achievement,accomplishment,achievements,accomplishments,attainments,achieved,achieving,attainment,milestone,feat,successes
172,terrible,horrible,horrendous,dreadful,awful,horrid,atrocious,horrific,bad,appalling,hideous
173,insert,inserted,inserting,inserts,insertion,reinsert,attach,embed,imbed,affix,shoehorn
174,discount,discounts,discounted,coupon,discounting,coupons,markdown,rebate,premium,markups,price
175,devote,devoting,dedicate,devoted,devotes,spend,expend,dedicating,concentrate,dedicates,dedicated
176,safety,hazards,hazard,safe,protection,health,security,cleanliness,safer,reliability,soundness
177,shrimp,crawfish,shrimps,seafood,prawns,grouper,crab,oysters,scallops,catfish,lobster
178,accounting,bookkeeping,auditing,restatement,accountancy,restatements,reaudit,audit,auditors,accountants,financial
179,container,containers,cargo,crate,carton,jar,pallet,sealable,cartons,cans,canister
180,flying,fly,flew,flies,flight,flown,winging,traveling,jetting,airplanes,parachuting
181,tank,tanks,canister,radiator,sump,shell,canisters,silo,propellant,jerrycan,hose
182,secular,secularist,secularism,secularists,religious,laic,theocratic,secularizing,fundamentalist,secularity,pluralistic
183,caution,cautions,cautious,prudence,cautiously,cautionary,cautioning,careful,circumspection,cautioned,warning
184,elegant,elegantly,stylish,elegance,unfussy,exquisite,graceful,sleek,sumptuous,opulent,exquisitely
185,terribly,dreadfully,horribly,incredibly,very,hugely,horrendously,quite,extremely,overly,utterly
186,invite,invites,inviting,invited,invitation,join,invitations,welcome,uninvite,encourage,partake
187,factory,factories,plant,manufacturing,mill,manufactory,warehouse,ironworks,manufacturer,foundry,shop
188,typically,usually,generally,normally,often,tend,customarily,traditionally,rarely,routinely,sometimes
189,adjust,readjust,adjusting,adapt,adjusts,readjusted,adjusted,acclimate,adjustment,readjusts,adjustments
190,instinct,instincts,instinctive,instinctual,intuition,innate,instinctively,impulse,inclination,reflex,instinctually
191,clearly,plainly,obviously,evidently,certainly,unambiguously,nevertheless,simply,apparently,nonetheless,precisely
192,theoretical,theoretic,mathematical,empirical,hypothetical,theory,epistemological,methodological,unfalsifiable,anthropic,untestable
193,accomplish,accomplishing,accomplished,achieve,accomplishes,attain,accomplishable,achieved,attainable,succeed,achievable
194,finally,belatedly,eventually,again,once,then,before,when,soon,suddenly,after
195,solution,solutions,solves,scalable,solve,remedy,panacea,workable,platform,alternatives,alleviates
196,sustainable,decarbonised,greener,environmentally,unsustainable,decarbonisation,ecologically,equitable,decarbonise,eco,decarbonising
197,explanation,explanations,explain,justification,reason,explaining,answer,answers,apology,reasoning,excuse
198,warmth,warm,warmness,coldness,chilliness,hominess,homeliness,gentleness,airiness,liveliness,cosiness
199,party,parties,caucus,faction,coalitional,coalition,paty,factional,independents,constituency,abstentionist
200,depth,deep,depths,deeper,breadth,insight,dimension,strength,versatility,talent,extensive
201,life,lives,lifestyle,homelife,grandparenthood,lifetime,living,dailiness,family,existences,unlived
202,office,offices,desk,headquarters,branch,fice,receptionist,department,residence,courthouse,switchboard
203,cholesterol,triglycerides,hypertension,triglyceride,diabetes,lipoprotein,lipid,atherosclerosis,lipids,fats,folate
204,discrimination,discriminatory,discriminations,discriminated,harassment,prejudice,racism,discriminate,discriminating,bigotry,stereotyping
205,enough,sufficient,too,sufficiently,not,able,so,needed,could,did,but
206,master,masters,mastering,mastered,mastership,artificer,genius,maestro,cunning,enigmatology,minored
207,parish,parishes,church,parishioners,diocese,diocesan,rectory,deanery,archdiocese,parishioner,vestry
208,fashion,fashions,couture,menswear,catwalk,womenswear,sportswear,lingerie,beachwear,catwalks,fashionable
209,cute,adorable,cutesy,girly,goofy,funny,sexy,cutest,lovable,cuddly,cuter
210,civilian,military,civilians,nonmilitary,noncombatants,naval,nonkinetic,uniformed,noncombatant,army,combatant
211,subsequent,ensuing,following,preceding,prior,resulting,previous,resulted,consequent,initial,culminating
212,childhood,boyhood,adolescence,childhoods,upbringing,formative,babyhood,adulthood,adolescent,schooldays,girlhood
213,grasp,grasped,comprehend,grasping,grasps,understand,comprehending,fathom,realize,comprehension,grip
214,medication,medications,pills,painkillers,medicines,prescription,morphine,methadone,drugs,antipyretics,dosage
215,bless,blesses,pray,blessings,blessing,blessed,sanctify,prayed,baptise,solemnize,praying
216,under,within,behind,subject,supervision,put,above,placed,on,beneath,attached
217,enthusiasm,excitement,fervor,passion,exuberance,optimism,zeal,eagerness,ardor,zest,admiration
218,vertical,horizontal,vertically,verticals,horizontally,chamfer,laterally,ft,perpendicular,perpendicularly,chamfers
219,autonomy,independence,autonomous,autonomies,sovereignty,federalism,confederal,freedom,devolution,decentralization,prerogatives
220,colony,colonies,protectorate,colonial,colonized,colonists,coloniser,colonials,colonizers,colonization,colonist
221,wing,wingers,leftwing,winger,wings,flank,rightist,leftish,tailplane,leftist,rightest
222,shape,fit,shapes,shaped,shaping,reshape,form,contours,sculpt,reshaping,remold
223,middle,upper,class,mid,smack,end,middleclass,elementary,roaders,somewhere,lowerclassmen
224,infrastructure,infrastructures,connectivity,projects,telecommunication,facilities,connectively,transportation,telecommunications,modernization,systems
225,math,mathematics,algebra,maths,trigonometry,arithmetic,precalculus,civics,calculus,proficiency,graders
226,virtually,practically,almost,essentially,seemingly,completely,except,nearly,conceivable,totally,imaginable
227,accelerate,accelerating,accelerated,accelerates,expedite,hasten,facilitate,catalyze,streamline,enhance,strengthen
228,fare,fares,airfares,airfare,ticket,fared,cuisine,riderships,stayover,frills,faring
229,chaos,anarchy,mayhem,bedlam,pandemonium,chaotic,strife,turmoil,disarray,upheaval,confusion
230,tell,know,telling,tells,ask,say,see,remind,explain,remember,understand
231,clay,unmolded,claylike,micaceous,pottery,tennis,clays,dropshots,steatite,grass,racquet
232,fabric,fabrics,cloth,reweaving,tapestry,unwoven,sailcloth,weft,quilted,stitching,yarn
233,attention,attentions,spotlight,notoriety,acclaim,ire,scorn,plaudits,praise,headlines,kudos
234,neighboring,nearby,northern,southern,western,southeastern,neighbors,eastern,bordering,adjoining,southwestern
235,chest,abdomen,torso,forehead,neck,buttocks,chests,buttock,thigh,stomach,sternum
236,temple,temples,stupa,kovil,vihara,mandir,monastery,shrine,gurdwara,pagoda,mahant
237,dining,dinning,bistro,dine,restaurants,cuisine,restaurant,eateries,diners,brasserie,gourmet
238,him,me,he,himself,them,his,somebody,myself,anybody,someone,guy
239,processor,processors,processer,processing,coprocessor,coprocessors,microprocessor,multiprocessing,multiprocessor,cores,motherboard
240,contrast,comparison,contrasts,contrasted,comparably,compared,unlike,contrasting,strikingly,contradistinction,whereas
241,fly,flying,flew,flies,flown,flight,flights,overfly,travel,hop,sail
242,bacteria,bacterium,bacterial,microorganisms,microbes,pathogens,germs,microorganism,microbe,organisms,pathogen
243,jury,jurors,juries,juror,judge,retrial,verdict,trial,mistrial,defendant,verdicts
244,layer,layers,layered,layering,coating,heterostructure,overlay,overlaying,crust,sublayer,claylike
245,commodity,commodities,metals,softs,grains,bullion,volatility,hedgers,equities,prices,stocks
246,sidewalk,sidewalks,pavement,street,driveway,roadway,alley,walkway,crosswalk,plaza,boulevard
247,content,interactivity,downloads,programming,portals,videos,monetize,advertisers,publishers,web,contextually
248,trend,trends,pattern,downtrend,phenomenon,fad,uptrend,upswing,trending,decline,craze
249,sustain,maintain,survive,sustained,sustaining,sustains,attain,withstand,generate,propel,recover
250,suffering,suffered,suffer,suffers,afflicted,recovering,inflicted,severe,debilitating,experiencing,inflicting
251,military,army,naval,civilian,miliary,generals,soldiers,navy,troops,militaries,commanders
252,merchant,merchants,wholesaler,bankcard,grocer,storekeeper,brokerage,cardholder,jeweler,trader,banker
253,traffic,congestion,congested,pedestrian,pedestrians,congestions,intersection,speeders,lanes,speeding,intersections
254,steam,momentum,steams,steaming,puff,vapor,heat,locomotive,boiler,fizzle,pyrolytic
255,scent,scents,aroma,smell,fragrance,scented,smells,perfume,odor,aromas,smelling
256,yeah,hey,geez,maybe,guess,dunno,huh,gonna,suppose,anyways,okay
257,gang,gangs,gangsters,gangland,gangster,maras,mob,bikie,thug,hoodlum,underworld
258,convinced,unconvinced,adamant,confident,persuaded,believe,convince,believing,skeptical,assured,hopeful
259,smell,smells,smelling,odor,stench,aroma,smelled,odors,scent,aromas,fumes
260,love,loved,adore,loves,passion,hate,loving,affection,adores,cherish,adored
261,effort,efforts,attempt,endeavor,initiative,attempts,concerted,campaign,crusade,try,trying
262,understand,comprehend,explain,know,realize,understood,understands,understanding,recognize,appreciate,misunderstand
263,builder,builders,homebuilder,renovator,remodeler,developer,realtor,architect,homebuilding,boatbuilder,contractor
264,instruction,instructional,curriculum,instructors,teaching,lessons,tutoring,learning,instructor,instructions,training
265,puzzle,puzzles,jigsaw,riddle,puzzler,puzzlers,mystery,brainteasers,brainteaser,chessboard,puzzling
266,spine,spines,spinal,pelvis,vertebrae,sternum,vertebras,ligaments,hipbones,anklebone,jaw
267,whisper,whispering,whispered,whispers,murmur,murmuring,murmured,mutter,hushed,mumble,murmurs
268,negotiation,negotiations,negotiating,negations,bargaining,negotiate,negotiated,talks,discussions,renegotiation,mediation
269,psychology,sociology,anthropology,psychobiology,criminology,biopsychology,psychologist,kinesiology,linguistics,psychophysiology,psychiatry
270,free,restricted,complimentary,freebie,gratis,unlimited,unfettered,unrestricted,freebies,discounted,preregistering
271,accessible,accessable,available,accessibility,inaccessible,affordable,searchable,access,accessed,convenient,accessibly
272,resolution,resolutions,motion,amendment,unanimously,resolving,legislation,proposal,compromise,measure,bill
273,rare,rarity,rarer,rarest,unusual,uncommon,unheard,rarely,atypical,noteworthy,remarkable
274,argue,argued,arguing,contend,say,insist,believe,argues,contended,posit,surmise
275,barrel,crude,bbl,bushel,oil,gallon,ounce,crudes,barrels,mbd,gasoline
276,stumble,stumbles,stumbling,stumbled,slip,falter,slink,stagger,misstep,tumble,wander
277,soup,soups,noodles,salad,sauce,broth,porridge,meatballs,pasta,casserole,stew
278,amendment,amendments,bill,legislation,provision,amend,amended,proposal,amending,provisions,repeal
279,initial,inital,subsequent,preliminary,initially,premarketing,early,tentative,first,additional,eventual
280,requirement,requirements,requiring,mandates,required,mandatory,restriction,mandating,criterion,requires,mandated
281,multiple,numerous,various,multitude,several,variety,myriad,varying,multiplicity,countless,both
282,sphere,spheres,realm,realms,frontiers,noosphere,collectivities,cosmonautics,circles,hegemonies,communicational
283,glory,glories,greatness,glorious,splendor,magnificence,immortality,grandeur,triumphs,fame,triumphant
284,investigation,investigations,probe,inquiry,investigating,investigators,investigated,probes,investigate,investigative,investigatory
285,reliable,dependable,accurate,trustworthy,unreliable,efficient,trustable,trusted,reliably,economical,authoritative
286,design,designs,designing,architectural,designers,architecture,redesign,designer,engineering,layout,patternmaking
287,toll,tolls,tollway,tolling,tollways,burden,hotline,tollbooths,strain,casualties,brunt
288,immediate,immediately,instant,definite,imminent,urgent,no,swift,direct,instantaneous,appreciable
289,where,outside,in,elsewhere,when,near,wherever,somewhere,here,places,nearby
290,interval,intervals,equalized,goaled,equalizer,minuets,miscuing,equalize,equalizing,minute,minutes
291,paper,papers,newspaper,printed,foolscap,unprinted,newsprint,print,printing,cardboard,ink
292,cooperative,cooperatives,collaborative,cooperation,cooperatively,cooperating,cooperate,collegial,cordial,neighborly,cooperated
293,success,successes,successful,succes,accomplishment,achievements,achievement,triumphs,accomplishments,succesful,greatness
294,cousin,brother,nephew,uncle,cousins,niece,aunt,sister,son,father,friend
295,anymore,not,do,anyway,really,bother,anybody,anyways,know,hey,anything
296,thin,thinner,thick,thinly,slim,skinny,slender,thinnest,thinned,thinness,thinning
297,internal,external,internally,externally,ongoing,audit,organizational,auditing,departmental,interdepartmental,intradepartmental
298,propose,proposing,proposes,proposed,consider,recommend,approve,enact,introduce,devise,oppose
299,presidential,presidency,gubernatorial,election,primaries,elections,governorship,electoral,senatorial,reelection,preelection
300,sufficient,adequate,insufficient,enough,necessary,ample,requisite,reasonable,substantial,wherewithal,needed
301,cloth,cloths,oilcloth,linen,muslin,fabric,burlap,silk,shawl,candlewick,muslins
302,skilled,talented,unskilled,skill,skillful,skilful,nonskilled,hirable,skills,semiskilled,employable
